intan,xcoord,ycoord,sh
0,25,620,0
1,25,580,0
2,25,20,0
3,25,60,0
4,25,100,0
5,25,220,0
6,25,180,0
7,25,140,0
8,0,120,0
9,0,160,0
10,0,200,0
11,0,80,0
12,0,40,0
13,0,0,0
14,0,560,0
15,0,600,0
16,0,240,0
17,0,280,0
18,0,320,0
19,0,360,0
20,0,400,0
21,0,440,0
22,0,480,0
23,0,520,0
24,25,540,0
25,25,500,0
26,25,460,0
27,25,420,0
28,25,380,0
29,25,340,0
30,25,300,0
31,25,260,0
