spikegadget,xcoord,ycoord,sh
0,300,75,1
1,300,475,1
2,300,375,1
3,300,500,1
4,300,325,1
5,300,450,1
6,300,550,1
7,300,100,1
8,300,725,1
9,300,350,1
10,300,300,1
11,300,775,1
12,300,250,1
13,300,525,1
14,300,200,1
15,300,750,1
16,300,275,1
17,300,625,1
18,300,225,1
19,300,700,1
20,300,650,1
21,300,175,1
22,300,675,1
23,0,500,0
24,0,50,0
25,300,150,1
26,0,0,0
27,300,600,1
28,0,25,0
29,300,575,1
30,0,475,0
31,300,425,1
32,300,125,1
33,300,400,1
34,300,0,1
35,300,25,1
36,0,425,0
37,0,400,0
38,300,50,1
39,0,375,0
40,0,450,0
41,0,350,0
42,0,775,0
43,0,325,0
44,0,750,0
45,0,300,0
46,0,725,0
47,0,275,0
48,0,250,0
49,0,700,0
50,0,225,0
51,0,675,0
52,0,200,0
53,0,650,0
54,0,175,0
55,0,625,0
56,0,150,0
57,0,600,0
58,0,125,0
59,0,575,0
60,0,100,0
61,0,550,0
62,0,75,0
63,0,525,0
64,900,375,3
65,900,700,3
66,900,300,3
67,900,675,3
68,900,275,3
69,900,650,3
70,900,250,3
71,900,625,3
72,900,225,3
73,900,600,3
74,900,200,3
75,900,575,3
76,900,175,3
77,900,550,3
78,900,150,3
79,900,525,3
80,900,500,3
81,900,125,3
82,900,475,3
83,900,100,3
84,900,450,3
85,900,75,3
86,900,425,3
87,900,50,3
88,900,400,3
89,600,450,2
90,900,25,3
91,900,0,3
92,600,400,2
93,600,425,2
94,600,25,2
95,600,0,2
96,600,675,2
97,900,325,3
98,600,225,2
99,900,775,3
100,600,250,2
101,900,750,3
102,600,700,2
103,900,725,3
104,900,350,3
105,600,325,2
106,600,725,2
107,600,275,2
108,600,350,2
109,600,775,2
110,600,300,2
111,600,625,2
112,600,200,2
113,600,750,2
114,600,125,2
115,600,650,2
116,600,175,2
117,600,600,2
118,600,550,2
119,600,375,2
120,600,500,2
121,600,150,2
122,600,50,2
123,600,575,2
124,600,100,2
125,600,525,2
126,600,75,2
127,600,475,2
128,300,75,5
129,300,475,5
130,300,375,5
131,300,500,5
132,300,325,5
133,300,450,5
134,300,550,5
135,300,100,5
136,300,725,5
137,300,350,5
138,300,300,5
139,300,775,5
140,300,250,5
141,300,525,5
142,300,200,5
143,300,750,5
144,300,275,5
145,300,625,5
146,300,225,5
147,300,700,5
148,300,650,5
149,300,175,5
150,300,675,5
151,0,500,4
152,0,50,4
153,300,150,5
154,0,0,4
155,300,600,5
156,0,25,4
157,300,575,5
158,0,475,4
159,300,425,5
160,300,125,5
161,300,400,5
162,300,0,5
163,300,25,5
164,0,425,4
165,0,400,4
166,300,50,5
167,0,375,4
168,0,450,4
169,0,350,4
170,0,775,4
171,0,325,4
172,0,750,4
173,0,300,4
174,0,725,4
175,0,275,4
176,0,250,4
177,0,700,4
178,0,225,4
179,0,675,4
180,0,200,4
181,0,650,4
182,0,175,4
183,0,625,4
184,0,150,4
185,0,600,4
186,0,125,4
187,0,575,4
188,0,100,4
189,0,550,4
190,0,75,4
191,0,525,4
192,900,375,7
193,900,700,7
194,900,300,7
195,900,675,7
196,900,275,7
197,900,650,7
198,900,250,7
199,900,625,7
200,900,225,7
201,900,600,7
202,900,200,7
203,900,575,7
204,900,175,7
205,900,550,7
206,900,150,7
207,900,525,7
208,900,500,7
209,900,125,7
210,900,475,7
211,900,100,7
212,900,450,7
213,900,75,7
214,900,425,7
215,900,50,7
216,900,400,7
217,600,450,6
218,900,25,7
219,900,0,7
220,600,400,6
221,600,425,6
222,600,25,6
223,600,0,6
224,600,675,6
225,900,325,7
226,600,225,6
227,900,775,7
228,600,250,6
229,900,750,7
230,600,700,6
231,900,725,7
232,900,350,7
233,600,325,6
234,600,725,6
235,600,275,6
236,600,350,6
237,600,775,6
238,600,300,6
239,600,625,6
240,600,200,6
241,600,750,6
242,600,125,6
243,600,650,6
244,600,175,6
245,600,600,6
246,600,550,6
247,600,375,6
248,600,500,6
249,600,150,6
250,600,50,6
251,600,575,6
252,600,100,6
253,600,525,6
254,600,75,6
255,600,475,6
