intan,xcoord,ycoord,sh
0,900,280,3
1,920,260,3
2,900,260,3
3,920,240,3
4,900,240,3
5,920,220,3
6,900,220,3
7,920,200,3
8,900,200,3
9,920,180,3
10,900,180,3
11,920,160,3
12,900,160,3
13,900,20,3
14,600,160,2
15,600,20,2
16,620,260,2
17,920,120,3
18,920,300,3
19,900,300,3
20,920,280,3
21,620,120,2
22,620,100,2
23,620,300,2
24,620,240,2
25,620,40,2
26,600,100,2
27,620,20,2
28,600,220,2
29,600,200,2
30,600,40,2
31,600,80,2
32,600,60,2
33,620,180,2
34,620,200,2
35,620,220,2
36,620,0,2
37,620,140,2
38,600,240,2
39,600,260,2
40,600,300,2
41,600,120,2
42,600,140,2
43,620,280,2
44,900,140,3
45,600,280,2
46,620,80,2
47,620,60,2
48,600,0,2
49,620,160,2
50,900,0,3
51,600,180,2
52,900,40,3
53,900,60,3
54,900,80,3
55,900,100,3
56,920,0,3
57,920,20,3
58,920,40,3
59,920,60,3
60,920,80,3
61,920,100,3
62,900,120,3
63,920,140,3
64,20,200,0
65,0,220,0
66,20,220,0
67,0,240,0
68,20,240,0
69,0,260,0
70,20,260,0
71,0,280,0
72,20,280,0
73,0,300,0
74,20,300,0
75,0,180,0
76,300,40,1
77,20,160,0
78,300,0,1
79,320,160,1
80,320,220,1
81,300,240,1
82,320,0,1
83,0,200,0
84,320,20,1
85,300,280,1
86,320,240,1
87,320,40,1
88,320,80,1
89,300,120,1
90,320,280,1
91,300,220,1
92,320,120,1
93,320,140,1
94,300,60,1
95,320,180,1
96,300,200,1
97,300,180,1
98,300,80,1
99,300,140,1
100,320,300,1
101,320,200,1
102,300,300,1
103,320,100,1
104,320,60,1
105,300,260,1
106,320,260,1
107,0,40,0
108,0,0,0
109,0,20,0
110,20,180,0
111,300,100,1
112,300,160,1
113,300,20,1
114,0,160,0
115,20,140,0
116,0,140,0
117,20,120,0
118,0,120,0
119,20,100,0
120,20,80,0
121,20,60,0
122,20,40,0
123,20,20,0
124,20,0,0
125,0,100,0
126,0,80,0
127,0,60,0
