intan,xcoord,ycoord,sh
0,0,120,0
1,0,240,0
2,0,360,0
3,0,480,0
4,0,960,0
5,0,840,0
6,0,720,0
7,0,600,0
8,0,420,0
9,0,300,0
10,0,180,0
11,0,60,0
12,0,540,0
13,0,660,0
14,0,780,0
15,0,900,0
16,0,1860,0
17,0,1740,0
18,0,1620,0
19,0,1500,0
20,0,1020,0
21,0,1140,0
22,0,1260,0
23,0,1380,0
24,0,1560,0
25,0,1680,0
26,0,1800,0
27,0,1920,0
28,0,1440,0
29,0,1320,0
30,0,1200,0
31,0,1080,0
