spikegadget,xcoord,ycoord,sh
0,300,60,1
1,320,180,1
2,320,140,1
3,300,200,1
4,320,120,1
5,300,180,1
6,300,220,1
7,300,80,1
8,320,280,1
9,300,140,1
10,300,120,1
11,320,300,1
12,320,80,1
13,320,200,1
14,320,40,1
15,300,300,1
16,320,100,1
17,320,240,1
18,320,60,1
19,300,280,1
20,300,260,1
21,320,20,1
22,320,260,1
23,0,200,0
24,0,40,0
25,320,0,1
26,0,0,0
27,300,240,1
28,0,20,0
29,320,220,1
30,20,180,0
31,320,160,1
32,300,100,1
33,300,160,1
34,300,0,1
35,300,20,1
36,20,160,0
37,0,160,0
38,300,40,1
39,20,140,0
40,0,180,0
41,0,140,0
42,20,300,0
43,20,120,0
44,0,300,0
45,0,120,0
46,20,280,0
47,20,100,0
48,20,80,0
49,0,280,0
50,20,60,0
51,20,260,0
52,20,40,0
53,0,260,0
54,20,20,0
55,20,240,0
56,20,0,0
57,0,240,0
58,0,100,0
59,20,220,0
60,0,80,0
61,0,220,0
62,0,60,0
63,20,200,0
64,920,140,3
65,900,280,3
66,900,120,3
67,920,260,3
68,920,100,3
69,900,260,3
70,920,80,3
71,920,240,3
72,920,60,3
73,900,240,3
74,920,40,3
75,920,220,3
76,920,20,3
77,900,220,3
78,920,0,3
79,920,200,3
80,900,200,3
81,900,100,3
82,920,180,3
83,900,80,3
84,900,180,3
85,900,60,3
86,920,160,3
87,900,40,3
88,900,160,3
89,600,180,2
90,900,20,3
91,900,0,3
92,600,160,2
93,620,160,2
94,600,20,2
95,600,0,2
96,620,260,2
97,920,120,3
98,620,60,2
99,920,300,3
100,620,80,2
101,900,300,3
102,600,280,2
103,920,280,3
104,900,140,3
105,620,120,2
106,620,280,2
107,620,100,2
108,600,140,2
109,620,300,2
110,600,120,2
111,620,240,2
112,620,40,2
113,600,300,2
114,600,100,2
115,600,260,2
116,620,20,2
117,600,240,2
118,600,220,2
119,620,140,2
120,600,200,2
121,620,0,2
122,600,40,2
123,620,220,2
124,600,80,2
125,620,200,2
126,600,60,2
127,620,180,2
