300,75,0
300,475,0
300,375,0
300,500,0
300,325,0
300,450,0
300,550,0
300,100,0
300,725,0
300,350,0
300,300,0
300,775,0
300,250,0
300,525,0
300,200,0
300,750,0
300,275,0
300,625,0
300,225,0
300,700,0
300,650,0
300,175,0
300,675,0
0,500,0
0,50,0
300,150,0
0,0,0
300,600,0
0,25,0
300,575,0
0,475,0
300,425,0
300,125,0
300,400,0
300,0,0
300,25,0
0,425,0
0,400,0
300,50,0
0,375,0
0,450,0
0,350,0
0,775,0
0,325,0
0,750,0
0,300,0
0,725,0
0,275,0
0,250,0
0,700,0
0,225,0
0,675,0
0,200,0
0,650,0
0,175,0
0,625,0
0,150,0
0,600,0
0,125,0
0,575,0
0,100,0
0,550,0
0,75,0
0,525,0
900,375,0
900,700,0
900,300,0
900,675,0
900,275,0
900,650,0
900,250,0
900,625,0
900,225,0
900,600,0
900,200,0
900,575,0
900,175,0
900,550,0
900,150,0
900,525,0
900,500,0
900,125,0
900,475,0
900,100,0
900,450,0
900,75,0
900,425,0
900,50,0
900,400,0
600,450,0
900,25,0
900,0,0
600,400,0
600,425,0
600,25,0
600,0,0
600,675,0
900,325,0
600,225,0
900,775,0
600,250,0
900,750,0
600,700,0
900,725,0
900,350,0
600,325,0
600,725,0
600,275,0
600,350,0
600,775,0
600,300,0
600,625,0
600,200,0
600,750,0
600,125,0
600,650,0
600,175,0
600,600,0
600,550,0
600,375,0
600,500,0
600,150,0
600,50,0
600,575,0
600,100,0
600,525,0
600,75,0
600,475,0
300,75,200
300,475,200
300,375,200
300,500,200
300,325,200
300,450,200
300,550,200
300,100,200
300,725,200
300,350,200
300,300,200
300,775,200
300,250,200
300,525,200
300,200,200
300,750,200
300,275,200
300,625,200
300,225,200
300,700,200
300,650,200
300,175,200
300,675,200
0,500,200
0,50,200
300,150,200
0,0,200
300,600,200
0,25,200
300,575,200
0,475,200
300,425,200
300,125,200
300,400,200
300,0,200
300,25,200
0,425,200
0,400,200
300,50,200
0,375,200
0,450,200
0,350,200
0,775,200
0,325,200
0,750,200
0,300,200
0,725,200
0,275,200
0,250,200
0,700,200
0,225,200
0,675,200
0,200,200
0,650,200
0,175,200
0,625,200
0,150,200
0,600,200
0,125,200
0,575,200
0,100,200
0,550,200
0,75,200
0,525,200
900,375,200
900,700,200
900,300,200
900,675,200
900,275,200
900,650,200
900,250,200
900,625,200
900,225,200
900,600,200
900,200,200
900,575,200
900,175,200
900,550,200
900,150,200
900,525,200
900,500,200
900,125,200
900,475,200
900,100,200
900,450,200
900,75,200
900,425,200
900,50,200
900,400,200
600,450,200
900,25,200
900,0,200
600,400,200
600,425,200
600,25,200
600,0,200
600,675,200
900,325,200
600,225,200
900,775,200
600,250,200
900,750,200
600,700,200
900,725,200
900,350,200
600,325,200
600,725,200
600,275,200
600,350,200
600,775,200
600,300,200
600,625,200
600,200,200
600,750,200
600,125,200
600,650,200
600,175,200
600,600,200
600,550,200
600,375,200
600,500,200
600,150,200
600,50,200
600,575,200
600,100,200
600,525,200
600,75,200
600,475,200
